identifier;description;construction_identifier;adjacent_A;adjacent_B;window_identifier;area;vertices;
B0028;EP Surface Names:2AE945,7D2604;C0004;Z0018;Z0004;NaN;26.87342673;(158.4505075,19.06690778,9.81),(158.4505075,19.06690778,6.41),(158.4505075,11.16295874,6.41),(158.4505075,11.16295874,9.81);
B0029;EP Surface Names:407D28,BA26F5;C0004;Z0014;Z0004;NaN;4.1616;(181.1965075,16.45290778,9.81),(181.1965075,16.45290778,6.41),(182.4205075,16.45290778,6.41),(182.4205075,16.45290778,9.81);
B0030;EP Surface Names:635729,939CC3;C0004;Z0005;Z0004;NaN;5.8616;(175.7615075,18.17690778,9.81),(175.7615075,18.17690778,6.41),(175.7615075,16.45290778,6.41),(175.7615075,16.45290778,9.81);
B0031;EP Surface Names:6E0F82,8636B5;C0004;Z0005;Z0004;NaN;49.88111424;(161.0905916,18.17690778,9.81),(161.0905916,18.17690778,6.41),(175.7615075,18.17690778,6.41),(175.7615075,18.17690778,9.81);
B0032;EP Surface Names:12_Floor;C0003;ADB;Z0005;NaN;121.9803645;(175.7615075,18.17690778,6.41),(175.7615075,14.59315074,6.41),(172.0461348,14.59315074,6.41),(172.0461348,8.258150744,6.41),(161.0905916,8.258150744,6.41),(161.0905916,18.17690778,6.41);
B0033;EP Surface Names:770D3E,AEF595;C0004;Z0006;Z0005;NaN;21.539;(172.0461348,8.258150744,9.81),(172.0461348,8.258150744,6.41),(172.0461348,14.59315074,6.41),(172.0461348,14.59315074,9.81);
B0034;EP Surface Names:16E9C1,672279;C0004;Z0006;Z0005;NaN;12.63226733;(172.0461348,14.59315074,9.81),(172.0461348,14.59315074,6.41),(175.7615075,14.59315074,6.41),(175.7615075,14.59315074,9.81);
B0035;EP Surface Names:12_Ceiling;C0008;ADB;Z0005;NaN;121.9803645;(161.0905916,18.17690778,9.81),(161.0905916,8.258150744,9.81),(172.0461348,8.258150744,9.81),(172.0461348,14.59315074,9.81),(175.7615075,14.59315074,9.81),(175.7615075,18.17690778,9.81);
B0036;EP Surface Names:13_Floor;C0002;ADB;Z0006;NaN;23.53688633;(175.7615075,14.59315074,6.41),(175.7615075,8.258150744,6.41),(172.0461348,8.258150744,6.41),(172.0461348,14.59315074,6.41);
B0037;EP Surface Names:13_Ceiling;C0007;ADB;Z0006;NaN;23.53688633;(172.0461348,14.59315074,9.81),(172.0461348,8.258150744,9.81),(175.7615075,8.258150744,9.81),(175.7615075,14.59315074,9.81);
B0038;EP Surface Names:74E1ED,DC9ACD;C0004;Z0007;Z0006;NaN;21.539;(175.7615075,8.258150744,9.81),(175.7615075,8.258150744,6.41),(175.7615075,14.59315074,6.41),(175.7615075,14.59315074,9.81);
B0039;EP Surface Names:5B5D3F,9950CD;C0004;Z0017;Z0006;NaN;9.0236;(173.1075075,8.258150744,9.81),(173.1075075,8.258150744,6.41),(175.7615075,8.258150744,6.41),(175.7615075,8.258150744,9.81);
B0040;EP Surface Names:14_Floor;C0003;ADB;Z0007;NaN;44.5385045;(181.1965075,16.45290778,6.41),(181.1965075,8.258150744,6.41),(175.7615075,8.258150744,6.41),(175.7615075,16.45290778,6.41);
B0041;EP Surface Names:EC2929;C0001;AMB;Z0007;W0017;8.989979183;(178.552396,8.258150744,9.81),(178.552396,8.258150744,6.41),(181.1965075,8.258150744,6.41),(181.1965075,8.258150744,9.81);
B0042;EP Surface Names:2E7EBE,5F89E2;C0005;Z0014;Z0007;NaN;27.86217393;(181.1965075,8.258150744,9.81),(181.1965075,8.258150744,6.41),(181.1965075,16.45290778,6.41),(181.1965075,16.45290778,9.81);
B0043;EP Surface Names:296A67,F3A166;C0004;Z0004;Z0007;NaN;18.479;(181.1965075,16.45290778,9.81),(181.1965075,16.45290778,6.41),(175.7615075,16.45290778,6.41),(175.7615075,16.45290778,9.81);
B0044;EP Surface Names:14_Ceiling;C0008;ADB;Z0007;NaN;44.5385045;(175.7615075,16.45290778,9.81),(175.7615075,8.258150744,9.81),(181.1965075,8.258150744,9.81),(181.1965075,16.45290778,9.81);
B0045;EP Surface Names:08a_Floor;C0002;ADB;Z0008;NaN;42.2304115;(173.1075075,4.412481841,6.41),(173.1075075,0.1901507441,6.41),(163.1058259,0.1901507441,6.41),(163.1058259,4.412481841,6.41);
B0046;EP Surface Names:08a_Ceiling;C0009;ADB;Z0008;NaN;42.2304115;(163.1058259,4.412481841,9.81),(163.1058259,0.1901507441,9.81),(173.1075075,0.1901507441,9.81),(173.1075075,4.412481841,9.81);
B0047;EP Surface Names:4661EC,2B6974;C0004;Z0009;Z0008;NaN;14.35592573;(173.1075075,0.1901507441,9.81),(173.1075075,0.1901507441,6.41),(173.1075075,4.412481841,6.41),(173.1075075,4.412481841,9.81);
B0048;EP Surface Names:2579F6,3B4788;C0004;Z0003;Z0008;NaN;34.00571765;(173.1075075,4.412481841,9.81),(173.1075075,4.412481841,6.41),(163.1058259,4.412481841,6.41),(163.1058259,4.412481841,9.81);
